,目次,聲,等,呼,韻部,調,攝,反切,寬式中古擬音,廣通中古拼音,推導南京音,字,修改避重複音,改後擬音,改後拼音,小韻字數,平水韻目,訛字
618,下平2仙,心,三,合,仙A,平,山,須緣,syæn˧˧,svän,süän1,宣揎㩊䳦愃𡈣𩕖瑄𩓧,,syæn˧˧,svän,9,先,
624,下平2仙,邪,三,合,仙A,平,山,似宣,zyæn˧˧,zvän,süän2,旋檈璿𤩅𤫀䗠㳬琁璇𣟳蜁㔯還圓䁢嫙鏇,,zyæn˧˧,zvän,17,先,
1652,上28獮,心,三,合,仙A,上,山,思兖,syæn˨˦ 'x,svä́n,süän3,選𦌻𥶷,,syæn˨˦ 'x,svä́n,3,銑,
2737,去33線,邪,三,合,仙A,去,山,辝戀,zyæn˧˩ 'h,zvä̀n,süän4,㳬(漩)鏇縼𢳄旋嫙䍻𧾩𦛔,,zyæn˧˩ 'h,zvä̀n,9,霰,
2738,去33線,心,三,合,仙A,去,山,息絹,syæn˧˩ 'h,svä̀n,süän4,選𤂳𤂿䍻𦌔䠣繏渲,,syæn˧˩ 'h,svä̀n,8,霰,
3503,入17薛,心,三,合,仙A,入,山,相絕,syæt˥,svät,süe5,雪䨮㡜㨹,,syæt˥,svät,4,屑,
3534,入17薛,邪,三,合,仙A,入,山,寺絕,zyæt˥,zvät,süe5,㿱𧋍踅,,zyæt˥,zvät,2,屑,
437,上平18諄,心,三,合,諄A,平,臻,相倫,syin˧˧,svin,süin1,荀郇詢眴峋珣𣓓洵恂畇檈槆姰㰬,,syin˧˧,svin,14,眞,
448,上平18諄,邪,三,合,諄A,平,臻,詳遵,zyin˧˧,zvin,süin2,旬𠣙巡馴循揗㸪紃䋸𪀠洵楯灥㽦𧾩畇䖲,,zyin˧˧,zvin,17,眞,
1486,上17準,心,三,合,諄A,上,臻,思尹,syin˨˦ 'x,svín,süin3,筍笋𠣬鵻隼箰簨𥯗𣕍(栒),,syin˨˦ 'x,svín,9,軫,
2573,去22稕,心,三,合,諄A,去,臻,私閏,syin˧˩ 'h,svìn,süin4,𡺲峻濬浚陖埈迅鵕𢏤奞晙𧸩迿,,syin˧˩ 'h,svìn,13,震,
2574,去22稕,邪,三,合,諄A,去,臻,辭閏,zyin˧˩ 'h,zvìn,süin4,殉徇侚𢓈,,zyin˧˩ 'h,zvìn,4,震,
119,上平5支,心,三,開,支A,平,止,息移,siɪ˧˧,siï,sy1,斯虒𩆵榹㴲廝㒋凘磃㾷傂謕鼶𪆁蟴㽄螔䫢䌳䔮菥𥕶蜤燍禠鐁,,siɪ˧˧,siï,26,支,
130,上平5支,生,三,開,支B,平,止,所宜,ʂɨɪ˧˧,scyï,sy1,釃簁(篩)欐襹𧕯籭褷,,ʂɨɪ˧˧,scyï,7,支,
146,上平6脂,生,三,開,脂B,平,止,疏夷,ʂɨi˧˧,scyi,sy1,師鰤蒒篩獅螄,,ʂɨi˧˧,scyi,6,支,
156,上平6脂,心,三,開,脂A,平,止,息夷,si˧˧,si,sy1,私鋖(鐁)𦮺㺨厶,,si˧˧,si,5,支,
190,上平7之,心,三,開,之,平,止,息兹,sɨ˧˧,sy,sy1,思恖司罳伺絲緦悤禗覗㺇𥄶蕬偲楒鷥,,sɨ˧˧,sy,15,支,
1224,上4紙,生,三,開,支B,上,止,所綺,ʂɨɪ˨˦ 'x,scyḯ,sy3,躧𩎉灑纚縰釃𩌦屣矖簁蓰,,ʂɨɪ˨˦ 'x,scyḯ,10,紙,
1263,上5旨,心,三,開,脂A,上,止,息姊,si˨˦ 'x,sí,sy3,死,,si˨˦ 'x,sí,1,紙,
1293,上6止,生,三,開,之,上,止,踈士,ʂɨ˨˦ 'x,scý,sy3,史使駛𩰢,,ʂɨ˨˦ 'x,scý,4,紙,
1296,上6止,心,三,開,之,上,止,胥里,sɨ˨˦ 'x,sý,sy3,枲葈𤟧䈚葸諰𠪙,,sɨ˨˦ 'x,sý,7,紙,萆(葸)
1221,上4紙,心,三,開,支A,上,止,斯氏,siɪ˨˦ 'x,siḯ,sy3,徙壐璽𠈈𢇌,,siɪ˨˦ 'x,siḯ,5,紙,
2156,去5寘,心,三,開,支A,去,止,斯義,siɪ˧˩ 'h,siï̀,sy4,賜𧀩澌𣩠儩杫,,siɪ˧˩ 'h,siï̀,6,寘,
2179,去5寘,生,三,開,支B,去,止,所寄,ʂɨɪ˧˩ 'h,scyï̀,sy4,屣灑曬𩌦襹,,ʂɨɪ˧˩ 'h,scyï̀,5,寘,
2230,去6至,心,三,開,脂A,去,止,息利,si˧˩ 'h,sì,sy4,四亖肆𩬶柶泗牭𧳙㣈𨽼駟𦞤蕼肂,,si˧˩ 'h,sì,14,寘,
2253,去7志,邪,三,開,之,去,止,祥吏,zɨ˧˩ 'h,zỳ,sy4,寺嗣孠飤飼,,zɨ˧˩ 'h,zỳ,5,寘,
2255,去7志,心,三,開,之,去,止,相吏,sɨ˧˩ 'h,sỳ,sy4,笥伺思覗,,sɨ˧˩ 'h,sỳ,4,寘,
2262,去7志,生,三,開,之,去,止,踈吏,ʂɨ˧˩ 'h,scỳ,sy4,𩢲駛𣳪𧳅𩰢𨽄使,,ʂɨ˧˩ 'h,scỳ,7,寘,
2267,去7志,崇,三,開,之,去,止,鉏吏,dʐɨ˧˩ 'h,dzcỳ,sy4,事𩛌,,dʐɨ˧˩ 'h,dzcỳ,2,寘,
1255,上5旨,邪,三,開,脂A,上,止,徐姊,zi˨˦ 'x,zí,sy4,兕𧰽𠒅𠒃羠薙䒨𧱅薙,,zi˨˦ 'x,zí,7,紙,
1292,上6止,邪,三,開,之,上,止,詳里,zɨ˨˦ 'x,zý,sy4,似佀祀𥘰禩姒巳耜𦓨汜洍泤攺鈶𪊍,,zɨ˨˦ 'x,zý,15,紙,
1300,上6止,崇,三,開,之,上,止,鉏里,dʐɨ˨˦ 'x,dzcý,sy4,士仕柹(柿)戺𢨪,,dʐɨ˨˦ 'x,dzcý,5,紙,
1301,上6止,俟,三,開,之,上,止,牀史,ʐɨ˨˦ 'x,zcý,sy4,俟竢涘騃𥾩𥏳𢓪,,ʐɨ˨˦ 'x,zcý,7,紙,
2399,去13祭,生,三,開,祭B,去,蟹,所例,ʂɨɛj˧˩ 'h,scyèj,sy4,㡜鎩蔱,,ʂɨɛj˧˩ 'h,scyèj,3,霽,
3778,入27合,透,一,開,覃,入,咸,他合,tʰɒp˥,thöp,ta5,踏錔嚃䓠㛥𢃕鞜𦑇漯濕㹺𦧟䶀佮䵬𪘁𨌭㭼䍝濌𪂌䈋,,tʰɒp˥,thöp,22,合,
3792,入28盍,透,一,開,談,入,咸,吐盍,tʰap˥,thap,ta5,榻㯓𦪙毾鰈魼鰨𦶑傝狧𦧭𧪦𦐇鞳塔搭嗒遢𩥑塌溻,,tʰap˥,thap,19,合,
3393,入12曷,透,一,開,寒,入,山,他達,tʰat˥,that,ta5,闥㒓撻躂澾獺䲚𣥂羍𦍒達汏噧韃,,tʰat˥,that,13,曷,
513,上平25寒,透,一,開,寒,平,山,他干,tʰan˧˧,than,tang1,灘嘽嘆擹譠痑攤𦧴嬗㨏癱,,tʰan˧˧,than,10,寒,
1080,下平22覃,透,一,開,覃,平,咸,他含,tʰɒm˧˧,thöm,tang1,探撢貪欿㵅僋,,tʰɒm˧˧,thöm,3,覃,
1093,下平23談,透,一,開,談,平,咸,他酣,tʰam˧˧,tham,tang1,舑聃𨈭緂㘱(坍)䔜䆱㴂𦸁,,tʰam˧˧,tham,9,覃,
847,下平11唐,透,一,開,唐,平,宕,吐郎,tʰaŋ˧˧,thang,tang1,湯簜鏜闛𧼮踼盪蝪鼞薚𦳝,,tʰaŋ˧˧,thang,11,陽,
515,上平25寒,定,一,開,寒,平,山,徒干,dan˧˧,dan,tang2,壇檀鷤癉撣彈驒驙但胆繟儃聅唌貚,,dan˧˧,dan,15,寒,
1072,下平22覃,定,一,開,覃,平,咸,徒含,dɒm˧˧,döm,tang2,覃𨝸潭曇藫橝蟫譚𧽼燂壜鐔眈㽎𦗡𩡝𧂗蕁䊤㽑,,dɒm˧˧,döm,20,覃,
1087,下平23談,定,一,開,談,平,咸,徒甘,dam˧˧,dam,tang2,談郯惔錟淡痰澹倓餤𥰨㶣,,dam˧˧,dam,11,覃,
837,下平11唐,定,一,開,唐,平,宕,徒郎,daŋ˧˧,dang,tang2,唐啺𥏬煻糖(醣糛)堂坣𪕹棠搪蓎瑭餹篖螗𤚫𤛋螳塘碭鶶𩹶踼闛赯磄溏䣘傏隚䧜𨶈鎕䉎𨍴橖榶㲥㼺塘膛樘,,daŋ˧˧,dang,40,陽,
2009,上48感,透,一,開,覃,上,咸,他感,tʰɒm˨˦ 'x,thö́m,tang3,襑𥁺(醓)䏙嗿黮忐,,tʰɒm˨˦ 'x,thö́m,5,感,
2023,上49敢,透,一,開,談,上,咸,吐敢,tʰam˨˦ 'x,thám,tang3,𦵹菼緂𤎥毯𦃖裧𠪚,,tʰam˨˦ 'x,thám,8,感,
1552,上23旱,透,一,開,寒,上,山,他但,tʰan˨˦ 'x,thán,tang3,坦䦔,,tʰan˨˦ 'x,thán,2,旱,
1839,上37蕩,透,一,開,唐,上,宕,他朗,tʰaŋ˨˦ 'x,tháng,tang3,曭儻偒戃矘帑𣎲𥯕㼒㿩爣攩倘踼躺淌惝,,tʰaŋ˨˦ 'x,tháng,12,養,
3106,去53勘,透,一,開,覃,去,咸,他紺,tʰɒm˧˩ 'h,thö̀m,tang4,僋㶒撢(探)㐁傝䐺憛誩,,tʰɒm˧˩ 'h,thö̀m,8,勘,
3118,去54闞,透,一,開,談,去,咸,吐濫,tʰam˧˩ 'h,thàm,tang4,賧𪊇䆱𪉧睒澉舕,,tʰam˧˩ 'h,thàm,7,勘,
2934,去42宕,透,一,開,唐,去,宕,他浪,tʰaŋ˧˩ 'h,thàng,tang4,儻湯燙蕩盪𨫖,,tʰaŋ˧˩ 'h,thàng,6,漾,
2633,去28翰,透,一,開,寒,去,山,他旦,tʰan˧˩ 'h,thàn,tang4,炭碳歎嘆湠𢾋㛶,,tʰan˧˩ 'h,thàn,6,翰,
711,下平6豪,透,一,開,豪,平,效,土刀,tʰau˧˧,thau,tao1,饕洮韜縚謟滔叨弢𩥓㹗𤘸慆絛幍𠌪槄蜪夲𠦎(𠦂)綢搯(掏)翢瑫𠬢䈱𠚜詜挑,,tʰau˧˧,thau,28,豪,
716,下平6豪,定,一,開,豪,平,效,徒刀,dau˧˧,dau,tao2,陶䛬䛌咷桃綯燾逃鼗鞀鞉濤掏檮騊萄翿䬞匋啕翢錭駣蜪裪淘,,dau˧˧,dau,25,豪,
1716,上32晧,透,一,開,豪,上,效,他浩,tʰau˨˦ 'x,tháu,tao3,討𡘷槄,,tʰau˨˦ 'x,tháu,3,晧,
4009,去37号,透,一,開,豪,去,效,叨号,tʰau˧˩ 'h,thàu,tao4,韜(套)𡘷謟,,tʰau˧˩ 'h,thàu,,号,
393,上平16咍,透,一,開,咍,平,蟹,土來,tʰɒi˧˧,thöi,tä1,胎孡𩬠𧉟鮐台邰,,tʰɒi˧˧,thöi,7,灰,
386,上平16咍,定,一,開,咍,平,蟹,徒哀,dɒi˧˧,döi,tä2,臺擡(抬)菭苔炱嬯薹儓檯駘籉跆䈚𪒴𩿡,,dɒi˧˧,döi,15,灰,
1461,上15海,透,一,開,咍,上,蟹,他亥,tʰɒi˨˦ 'x,thö́i,tä3,㘆,,tʰɒi˨˦ 'x,thö́i,1,賄,
2421,去14泰,透,一,開,泰,去,蟹,他蓋,tʰaj˧˩ 'h,thàj,tä4,太泰忕汰酞,,tʰaj˧˩ 'h,thàj,4,泰,
2530,去19代,透,一,開,咍,去,蟹,他代,tʰɒi˧˩ 'h,thö̀i,tä4,貸儓態曃,,tʰɒi˧˩ 'h,thö̀i,4,隊,
4013,入25德,透,一,開,登,入,曾,他德,tʰək˥,thëk,tä5,忒(忑)㧹慝貣𥊸㥂𢘋脦𧊇匿㥾鋱,,tʰək˥,thëk,6,職,
984,下平17登,透,一,開,登,平,曾,他登,tʰəŋ˧˧,thëng,ten1,鼟膯𤃶𧰥,,tʰəŋ˧˧,thëng,4,蒸,
981,下平17登,定,一,開,登,平,曾,徒登,dəŋ˧˧,dëng,ten2,騰滕縢幐螣藤謄𧈜儯𤻴鰧𥉋,,dəŋ˧˧,dëng,12,蒸,
3030,去48嶝,透,一,開,登,去,曾,台鄧,tʰəŋ˧˩ 'h,thë̀ng,ten4,𤃶,,tʰəŋ˧˩ 'h,thë̀ng,1,徑,
309,上平12齊,透,四,開,齊,平,蟹,土雞,tʰiɛi˧˧,thiei,ti1,梯睇鷈𠥸䖙㔸𨁃謕𩤽,,tʰiɛi˧˧,thiei,9,齊,
301,上平12齊,定,四,開,齊,平,蟹,杜奚,diɛi˧˧,diei,ti2,提嗁啼蹏蹄𥶛詆瑅隄桋題媞𧡨綈罤𣹲𣖅締蕛稊𦯔䬾醍褆鵜荑禔䱱崹緹鷤鼶騠折䨑銕䱱䖙𥉘䬫䚣𢔭謕𡰄厗𪂿鶙𡰖蝭𨪉鴺㡗銻鮷趧𧋘鮧鶙鯷䐎,,diɛi˧˧,diei,60,齊,
1394,上11薺,透,四,開,齊,上,蟹,他禮,tʰiɛi˨˦ 'x,thiéi,ti3,體軆醍涕䪆挮緹𣈡,,tʰiɛi˨˦ 'x,thiéi,8,薺,
2364,去12霽,透,四,開,齊,去,蟹,他計,tʰiɛi˧˩ 'h,thièi,ti4,替𤾕暜㬱鬀剃戻𣧂楴涕洟䎮𡲕屜达薙𢝹𧛒殢𣤖𥫵,,tʰiɛi˧˩ 'h,thièi,20,霽,
3678,入23錫,透,四,開,青,入,梗,他歷,tʰiɛk˥,thiek,ti5,踢逖逷倜趯䢰剔𠜓詆惕䯜硩摘䚐𩮜𤈥蓨籊悐𢞒𥊕,,tʰiɛk˥,thiek,21,錫,
649,下平3蕭,透,四,開,蕭,平,效,吐彫,tʰiɛu˧˧,thieu,tiao1,祧佻挑脁恌𣂁庣銚趒聎蓧,,tʰiɛu˧˧,thieu,11,蕭,
651,下平3蕭,定,四,開,蕭,平,效,徒聊,diɛu˧˧,dieu,tiao2,條迢樤髫跳鋚𧌁蜩佻趒苕芀調鮡岧䯾䩦嬥𠤼𣬸𠧪鰷笤齠,,diɛu˧˧,dieu,22,蕭,
1668,上29篠,透,四,開,蕭,上,效,土了,tʰiɛu˨˦ 'x,thiéu,tiao3,朓窱䠷(挑),,tʰiɛu˨˦ 'x,thiéu,3,篠,
2756,去34嘯,透,四,開,蕭,去,效,他弔,tʰiɛu˧˩ 'h,thièu,tiao4,糶粜眺覜趒咷頫窱鋽絩,,tʰiɛu˧˩ 'h,thièu,10,嘯,
579,下平1先,透,四,開,先,平,山,他前,tʰiɛn˧˧,thien,tiän1,天𠀘䒶𦧝吞䚶,,tʰiɛn˧˧,thien,6,先,詽(䚶)
1124,下平25添,透,四,開,添,平,咸,他兼,tʰiɛm˧˧,thiem,tiän1,添沾黇舚,,tʰiɛm˧˧,thiem,4,鹽,
584,下平1先,定,四,開,先,平,山,徒年,diɛn˧˧,dien,tiän2,田佃畋畇塡(填)窴闐䟧𦧴鈿䡘沺磌鷏嗔𨌈滇貚搷,,diɛn˧˧,dien,19,先,
1126,下平25添,定,四,開,添,平,咸,徒兼,diɛm˧˧,diem,tiän2,甜恬湉菾𦳇,,diɛm˧˧,diem,5,鹽,
2052,上51忝,透,四,開,添,上,咸,他玷,tʰiɛm˨˦ 'x,thiém,tiän3,忝䄼栝銛悿餂(舔),,tʰiɛm˨˦ 'x,thiém,5,琰,
1603,上27銑,透,四,開,先,上,山,他典,tʰiɛn˨˦ 'x,thién,tiän3,腆痶圢淟町𤲖錪靦㥏琠蚕䠄𨆁賟晪,,tʰiɛn˨˦ 'x,thién,15,銑,
3141,去56𣕊,透,四,開,添,去,咸,他念,tʰiɛm˧˩ 'h,thièm,tiän4,㮇舚忝煔𨸱㐁,,tʰiɛm˧˩ 'h,thièm,6,豔,
2698,去32霰,透,四,開,先,去,山,他甸,tʰiɛn˧˩ 'h,thièn,tiän4,瑱顚(顛)滇睼,,tʰiɛn˧˩ 'h,thièn,4,霰,
3475,入16屑,透,四,開,先,入,山,他結,tʰiɛt˥,thiet,tie5,鐵銕僣餮飻蛈𢶋驖,,tʰiɛt˥,thiet,8,屑,
3826,入30怗,透,四,開,添,入,咸,他協,tʰiɛp˥,thiep,tie5,貼怗帖鉆跕蝶𪔧䩞䑜㡇呫,,tʰiɛp˥,thiep,11,葉,
941,下平15青,透,四,開,青,平,梗,他丁,tʰiɛŋ˧˧,thieng,tin1,汀訂桯綎聽廳町艼𦉬䩠鞓䋼𦀚庁,,tʰiɛŋ˧˧,thieng,14,青,
934,下平15青,定,四,開,青,平,梗,特丁,diɛŋ˧˧,dieng,tin2,停庭鼮莛葶筳亭聤霆渟𩹇綎娗㼗𧖧挺楟蜓廷㹶𧓴婷,,diɛŋ˧˧,dieng,21,青,
1903,上41迥,透,四,開,青,上,梗,他鼎,tʰiɛŋ˨˦ 'x,thiéng,tin3,珽圢脡侹頲徎𡈼町艼𤱹𦉬䦐,,tʰiɛŋ˨˦ 'x,thiéng,12,迥,
2998,去46徑,透,四,開,青,去,梗,他定,tʰiɛŋ˧˩ 'h,thièng,tin4,聽汀侹,,tʰiɛŋ˧˩ 'h,thièng,3,徑,
732,下平7歌,透,一,開,歌,平,果,託何,tʰɒ˧˧,thö,to1,拖佗他拕它蛇痑鼧,,tʰɒ˧˧,thö,7,歌,
748,下平8戈,透,一,合,戈,平,果,土禾,tʰuɒ˧˧,thuö,to1,詑涶𧦭䛢䜏,,tʰuɒ˧˧,thuö,5,歌,
729,下平7歌,定,一,開,歌,平,果,徒河,dɒ˧˧,dö,to2,駝駞鼉𡩆紽鮀陀驒䍫沱跎詑池(沲)酡㼠䭾(馱)迱鼧袉𩉺䡐𧕛佗鴕,,dɒ˧˧,dö,23,歌,
744,下平8戈,定,一,合,戈,平,果,徒和,duɒ˧˧,duö,to2,㸰碢堶,,duɒ˧˧,duö,3,歌,
1737,上33哿,透,一,開,歌,上,果,吐可,tʰɒ˨˦ 'x,thö́,to3,袉,,tʰɒ˨˦ 'x,thö́,1,哿,
1749,上34果,透,一,合,戈,上,果,他果,tʰuɒ˨˦ 'x,thuö́,to3,妥媠隋䲊㟎𨼰*墮橢鵎,,tʰuɒ˨˦ 'x,thuö́,9,哿,
2834,去38箇,透,一,開,歌,去,果,吐邏,tʰɒ˧˩ 'h,thö̀,to4,拖,,tʰɒ˧˩ 'h,thö̀,1,箇,
2839,去39過,透,一,合,戈,去,果,湯卧,tʰuɒ˧˩ 'h,thuö̀,to4,唾涶毻蛻𣮆(毤)嫷𧝍,,tʰuɒ˧˩ 'h,thuö̀,7,箇,
3418,入13末,透,一,合,桓,入,山,他括,tʰuat˥,thuat,to5,侻挩脫莌棁,,tʰuat˥,thuat,5,曷,
3571,入19鐸,透,一,開,唐,入,宕,他各,tʰak˥,thak,to5,託袥橐魠籜𣔳(柝)𣟄拓托馲𩧐𨂫蘀𦚈侂飥魄沰矺乇籜,,tʰak˥,thak,18,藥,
44,上平2冬,透,一,開,冬,平,通,他冬,tʰoŋ˧˧,thong,tong1,炵,,tʰoŋ˧˧,thong,1,冬,
29,上平1東,透,一,開,東,平,通,他紅,tʰuŋ˧˧,thung,tong1,通蓪侗恫痌曈俑𧳆𨀜,,tʰuŋ˧˧,thung,9,東,
36,上平2冬,定,一,開,冬,平,通,徒冬,doŋ˧˧,dong,tong2,彤疼佟炵䳋鼕𢥞𢾮爞㤏痋䂈鉵𧹝𩦶浵䶱𠩁鉖𨜳㠽赨,,doŋ˧˧,dong,22,冬,
2,上平1東,定,一,開,東,平,通,徒紅,duŋ˧˧,dung,tong2,同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨝯𨚯𪔝𩦶𪒿,,duŋ˧˧,dung,45,東,
1161,上1懂,透,一,開,東,上,通,他孔,tʰuŋ˨˦ 'x,thúng,tong3,侗桶曈捅,,tʰuŋ˨˦ 'x,thúng,4,董,
2121,去2宋,透,一,開,冬,去,通,他綜,tʰoŋ˧˩ 'h,thòng,tong4,統𪎽,,tʰoŋ˧˩ 'h,thòng,2,宋,
2102,去1送,透,一,開,東,去,通,他貢,tʰuŋ˧˩ 'h,thùng,tong4,痛,,tʰuŋ˧˩ 'h,thùng,1,送,
1025,下平19侯,透,一,開,侯,平,流,託侯,tʰu˧˧,thu,tou1,偷鍮媮鋀,,tʰu˧˧,thu,4,尤,
1026,下平19侯,定,一,開,侯,平,流,度侯,du˧˧,du,tou2,頭㓱投𪎨骰𣪌坄牏䤅㢏揄窬緰歈𪁞亠,,du˧˧,du,15,尤,
1959,上45厚,透,一,開,侯,上,流,天口,tʰu˨˦ 'x,thú,tou3,𪌜飳妵黈𩿢蘣斢鈄䱏,,tʰu˨˦ 'x,thú,9,有,
3070,去50候,透,一,開,侯,去,流,他候,tʰu˧˩ 'h,thù,tou4,透㰯䟝𧺢,,tʰu˧˩ 'h,thù,5,宥,咅(夫口切切非天口切)
294,上平11模,透,一,開,模,平,遇,他胡,tʰo˧˧,tho,tu1,㻌稌悇嶀㻯𡸂庩䞮梌㻬捈䩣,,tʰo˧˧,tho,12,虞,
282,上平11模,定,一,開,模,平,遇,同都,do˧˧,do,tu2,徒𨑒屠瘏塗途酴駼𤙛鵌涂梌㭸荼圖啚𤺈䣝菟捈䣄䅷嵞峹𣘻鍍䤅蒤䖘鷵筡,,do˧˧,do,31,虞,
1375,上10姥,透,一,開,模,上,遇,他魯,tʰo˨˦ 'x,thó,tu3,土吐稌芏,,tʰo˨˦ 'x,thó,4,麌,
2346,去11暮,透,一,開,模,去,遇,湯故,tʰo˧˩ 'h,thò,tu4,兔菟吐鵵,,tʰo˧˩ 'h,thò,4,遇,
3186,入1屋,透,一,開,東,入,通,他谷,tʰuk˥,thuk,tu5,秃(禿)𣬜䛢𢬳鵚,,tʰuk˥,thuk,5,屋,
3371,入11沒,透,一,合,魂,入,臻,土骨,tʰuot˥,thuot,tu5,宊,改邪母 寺骨切,zuot˥,zuot,1,月,
3375,入11沒,透,一,合,魂,入,臻,他骨,tʰuot˥,thuot,tu5,宊棁𠫓𡿮㥆䠈,,tʰuot˥,thuot,6,月,
526,上平26桓,透,一,合,桓,平,山,他端,tʰuan˧˧,thuan,tuang1,湍貒䵎𪏆煓偳,,tʰuan˧˧,thuan,6,寒,
528,上平26桓,定,一,合,桓,平,山,度官,duan˧˧,duan,tuang2,團慱篿剸鄟𧐕敦漙鷒𪆃摶𩅂,,duan˧˧,duan,12,寒,
1564,上24緩,透,一,合,桓,上,山,吐緩,tʰuan˨˦ 'x,thuán,tuang3,疃𤲫瘓䠪䜝𢣎𩏇,,tʰuan˨˦ 'x,thuán,4,旱,
2656,去29換,透,一,合,桓,去,山,通貫,tʰuan˧˩ 'h,thuàn,tuang4,彖褖貒湪,,tʰuan˧˩ 'h,thuàn,4,翰,
380,上平15灰,透,一,合,灰,平,蟹,他回,tʰuɒi˧˧,thuöi,tuei1,𢅼𨋱㷟蓷推藬㞜,,tʰuɒi˧˧,thuöi,7,灰,
371,上平15灰,定,一,合,灰,平,蟹,杜回,duɒi˧˧,duöi,tuei2,穨頽(頹)㿉隤墤㢈尵蘈𧮓𧝋蹪𤗴,,duɒi˧˧,duöi,13,灰,
1434,上14賄,透,一,合,灰,上,蟹,吐猥,tʰuɒi˨˦ 'x,thuö́i,tuei3,腿骽聉僓脮㟎㱣㞂,,tʰuɒi˨˦ 'x,thuö́i,8,賄,
2449,去14泰,透,一,合,泰,去,蟹,他外,tʰuaj˧˩ 'h,thuàj,tuei4,蛻娧駾毻裞,,tʰuaj˧˩ 'h,thuàj,5,泰,
2516,去18隊,透,一,合,灰,去,蟹,他内,tʰuɒi˧˩ 'h,thuö̀i,tuei4,退𢓴𨓤㥆𡯵,,tʰuɒi˧˩ 'h,thuö̀i,5,隊,
491,上平23魂,透,一,合,魂,平,臻,他昆,tʰuon˧˧,thuon,tuen1,暾燉涒𪏆噋𧑒黗,,tʰuon˧˧,thuon,7,元,
505,上平24痕,透,一,開,痕,平,臻,吐根,tʰon˧˧,thon,tuen1,吞,,tʰon˧˧,thon,1,元,
492,上平23魂,定,一,合,魂,平,臻,徒渾,duon˧˧,duon,tuen2,屯豚㹠豘窀臀𡱂𦞠𩪡軘飩𥴫坉沌邨燉忳啍芚庉𪎶𤫭,,duon˧˧,duon,22,元,
1540,上21混,透,一,合,魂,上,臻,他衮,tʰuon˨˦ 'x,thúon,tuen3,畽𤊯吨黗,,tʰuon˨˦ 'x,thúon,4,阮,
290,上平11模,影,一,開,模,平,遇,哀都,ʔo˧˧,qo,u1,烏嗚洿汚(污)杇圬釫鰞歍鎢㢪於瑦鄔盓螐惡扝𦶀㮧鴮,,ʔo˧˧,qo,21,虞,
252,上平10虞,明,三,合,虞,平,遇,武夫,mʉo˧˧,müo,u2,無毋瞴膴蕪誣巫莁璑𨼊䉑鷡𦌬蝥𢜮无𢃀譕墲鵐憮䍢,,mʉo˧˧,müo,22,虞,
285,上平11模,疑,一,開,模,平,遇,五乎,ŋo˧˧,ngo,u2,吾鼯𪁙𧋋吳(吴)浯䓊㹳㻍珸蜈郚齬鯃娪鋘梧峿麌𦨳祦,,ŋo˧˧,ngo,21,虞,
1355,上9麌,明,三,合,虞,上,遇,文甫,mʉo˨˦ 'x,müó,u3,武舞儛嫵侮𦌬憮㒇珷碔廡𢋑甒潕鵡䳇𢜮膴瞴娬敄䒉䍙𤍍嘸,,mʉo˨˦ 'x,müó,24,麌,
1381,上10姥,疑,一,開,模,上,遇,疑古,ŋo˨˦ 'x,ngó,u3,五午旿伍仵,,ŋo˨˦ 'x,ngó,5,麌,
1386,上10姥,影,一,開,模,上,遇,安古,ʔo˨˦ 'x,qó,u3,隖塢鄔瑦䃖𢄓溩䡧𧽋䛩埡,,ʔo˨˦ 'x,qó,10,麌,
2328,去10遇,明,三,合,虞,去,遇,亡遇,mʉo˧˩ 'h,müò,u4,務婺霧霚騖𦎦䨁蝥𨂣𦆞㡔嵍敄鶩,,mʉo˧˩ 'h,müò,14,遇,
2348,去11暮,疑,一,開,模,去,遇,五故,ŋo˧˩ 'h,ngò,u4,誤悮寤忤啎迕晤悟逜窹捂娛遻䎸牾,,ŋo˧˩ 'h,ngò,14,遇,
2354,去11暮,影,一,開,模,去,遇,烏路,ʔo˧˩ 'h,qò,u4,汙惡噁䜑埡,,ʔo˧˩ 'h,qò,4,遇,
3181,入1屋,影,一,開,東,入,通,烏谷,ʔuk˥,quk,u5,屋(𡲃)𦤼剭𨜘𪑱䑁,,ʔuk˥,quk,7,屋,
3379,入11沒,疑,一,合,魂,入,臻,五忽,ŋuot˥,nguot,u5,兀扤杌屼矹䦍鼿𦨉䑢𠨜㽾𤴰軏𧈭刖𦬂,,ŋuot˥,nguot,16,月,
3227,入2沃,影,一,開,冬,入,通,烏酷,ʔok˥,qok,u5,沃鋈鱟䑁䁷觷䮸,,ʔok˥,qok,7,沃,
3241,入2沃,疑,一,開,冬,入,通,五沃,ŋok˥,ngok,u5,㹊,,ŋok˥,ngok,1,沃,𤛹(㹊)
3338,入8物,明,三,合,文,入,臻,文弗,mʉət˥,müët,u5,物勿芴伆𣃦岉𨑥昒沕,,mʉət˥,müët,9,物,
3377,入11沒,影,一,合,魂,入,臻,烏没,ʔuot˥,quot,u5,𩑦腽(膃)殟嗢䯉榅揾淴馧,,ʔuot˥,quot,9,月,
